Time,Time Since Start,DMA Voltage,Electrometer Voltage,Electrometer Concentration,Electrospray Voltage,Electrospray Current
2023-02-21 13:26:43.447764,1.000961,-770.1712250709534,-4.629641532897949,-5384761.946897329,-3542.5827503204346,-0.004656042098999023
2023-02-21 13:26:43.454764,1.007961,-2474.8377799987793,-7.336807727813721,-8533482.081431039,-6240.922451019287,-0.0072714767456054695
2023-02-21 13:26:43.462733,1.01593,-3857.6974868774414,-9.815277099609375,-11416203.662564296,-8668.246269226074,-0.009529444694519043
2023-02-21 13:26:43.469739,1.022936,-4969.580173492432,-9.916069984436035,-11533436.430344671,-9929.546356201172,-0.009923398971557617
2023-02-21 13:26:43.487767,1.040964,-4951.297283172607,-9.907480239868164,-11523445.650420574,-9906.062126159668,-0.009908977508544923
2023-02-21 13:26:43.494733,1.04793,-4948.302745819092,-9.946253776550293,-11568543.367682036,-9907.637596130371,-0.009933250427246094
2023-02-21 13:26:43.501799,1.054996,-4981.164932250977,-9.965718269348145,-11591182.628062941,-9965.009689331055,-0.009968004226684571
2023-02-21 13:26:43.508479,1.061676,-4985.499382019043,-9.937663078308105,-11558551.478534011,-9970.210075378418,-0.009963669776916505
2023-02-21 13:26:43.532980,1.086177,-4971.353530883789,-9.96177864074707,-11586600.424014263,-9952.873229980469,-0.00996114730834961
2023-02-21 13:26:43.539936,1.093133,-4984.553813934326,-9.948538780212402,-11571201.068214748,-9968.949317932129,-0.009969816207885743
2023-02-21 13:26:43.547898,1.101095,-4960.793495178223,-9.899127006530762,-11513729.958030747,-9887.62092590332,-0.00989518642425537
2023-02-21 13:26:43.556099,1.109296,-4954.528331756592,-9.907243728637695,-11523170.562886303,-9909.135818481445,-0.009910553932189942
2023-02-21 13:26:43.563138,1.116335,-4955.23738861084,-9.880134582519531,-11491639.763494456,-9910.79044342041,-0.009888803482055664
2023-02-21 13:26:43.570504,1.123701,-4950.1543045043945,-9.905746459960938,-11521429.08131854,-9904.406547546387,-0.00990787410736084
2023-02-21 13:26:43.578752,1.131949,-4954.646587371826,-9.89416217803955,-11507955.33825892,-9909.529685974121,-0.00991047477722168
2023-02-21 13:26:43.596166,1.149363,-4967.570781707764,-9.9588623046875,-11583208.417240877,-9949.72038269043,-0.009958625793457031
2023-02-21 13:26:43.603496,1.156693,-4968.122482299805,-9.96043872833252,-11585041.964394705,-9947.986602783203,-0.009958389282226563
